pitch mph = 74, targetY = 2.2, endY = 0.97
pitch mph = 74, targetY = 2.3, endY = 1.19
pitch mph = 74, targetY = 2.3, endY = 1.13
pitch mph = 74, targetY = 2.3, endY = 1.07
pitch mph = 74, targetY = 2.4, endY = 1.18
pitch mph = 75, targetY = 1.6, endY = 0.55
pitch mph = 75, targetY = 1.6, endY = 0.48
pitch mph = 75, targetY = 1.7, endY = 0.72
pitch mph = 75, targetY = 1.7, endY = 0.65
pitch mph = 75, targetY = 1.7, endY = 0.58
pitch mph = 75, targetY = 1.7, endY = 0.51
pitch mph = 75, targetY = 1.8, endY = 0.75
pitch mph = 75, targetY = 1.8, endY = 0.68
pitch mph = 75, targetY = 1.8, endY = 0.62
pitch mph = 75, targetY = 1.9, endY = 0.85
pitch mph = 75, targetY = 1.9, endY = 0.79
pitch mph = 75, targetY = 1.9, endY = 0.72
pitch mph = 75, targetY = 2, endY = 1.01
pitch mph = 75, targetY = 2, endY = 0.95
pitch mph = 75, targetY = 2, endY = 0.89
pitch mph = 75, targetY = 2, endY = 0.83
pitch mph = 75, targetY = 2.1, endY = 1.05
pitch mph = 75, targetY = 2.1, endY = 0.99
pitch mph = 75, targetY = 2.1, endY = 0.93
pitch mph = 75, targetY = 2.2, endY = 1.15
pitch mph = 75, targetY = 2.2, endY = 1.10
pitch mph = 75, targetY = 2.2, endY = 1.04
pitch mph = 75, targetY = 2.3, endY = 1.20
pitch mph = 75, targetY = 2.3, endY = 1.14

pitch mph = 76, targetY = 1.5, endY = 0.52
pitch mph = 76, targetY = 1.6, endY = 0.62
pitch mph = 76, targetY = 1.6, endY = 0.55
pitch mph = 76, targetY = 1.6, endY = 0.48
pitch mph = 76, targetY = 1.7, endY = 0.72
pitch mph = 76, targetY = 1.7, endY = 0.65
pitch mph = 76, targetY = 1.7, endY = 0.59
pitch mph = 76, targetY = 1.7, endY = 0.51
pitch mph = 76, targetY = 1.8, endY = 0.82
pitch mph = 76, targetY = 1.8, endY = 0.75
pitch mph = 76, targetY = 1.8, endY = 0.69
